Character,Pinyin,Zhuyin,Definition,ExtendedDefinition
剔除,ti1chu2,ㄊㄧˉㄔㄨˊ,Remove,reject; discard
字眼,zi4yan3,ㄗˋㄧㄢˇ,Word,wording; diction
字眼兒,zi4yan3r5,ㄗˋㄧㄢˇr˙,Word,turn of expression
一流,yi4liu2,ㄧˋㄌㄧㄡˊ,First -class,first-class; first-rate; top-grade
沒收,mo4shou1,ㄇㄛˋㄕㄡˉ,Confuse,confiscate
多寡,duo1gua3,ㄉㄨㄛˉㄍㄨㄚˇ,Exactly,number; amount
消防,xiao1fang2,ㄒㄧㄠˉㄈㄤˊ,Firefighting,fire-fighting; fire prevention and control
櫻桃,ying1tao2,ㄧㄥˉㄊㄠˊ,cherry,cherry
飢餓,ji1'e4,ㄐㄧˉ'ㄜˋ,hunger,hunger; hungry; starve
甜美,tian2mei3,ㄊㄧㄢˊㄇㄟˇ,sweet,sweetness
學說,xue2shuo1,ㄒㄩㄝˊㄕㄨㄛˉ,theory,theory; doctrine
分辨,fen1bian4,ㄈㄣˉㄅㄧㄢˋ,Distinguish,distinguish; differentiate; resolve
沼澤,zhao3ze2,ㄓㄠˇㄗㄜˊ,swamp,marsh; swamp; glade; wetlands
萎縮,wei3suo1,ㄨㄟˇㄙㄨㄛˉ,Atrophy,to wither; dry up; to atrophy
首府,shou3fu3,ㄕㄡˇㄈㄨˇ,Capital,capital city of an autonomous region
權力,quan2li4,ㄑㄩㄢˊㄌㄧˋ,that power,power; authority
標簽,biao1qian1,ㄅㄧㄠˉㄑㄧㄢˉ,Label,label; tag; (Computing) tab (of a window)
跟進,gen1jin4,ㄍㄣˉㄐㄧㄣˋ,follow up,follow
實地,shi2di4,ㄕˊㄉㄧˋ,On the ground,on the spot
超速,chao1su4,ㄔㄠˉㄙㄨˋ,Super speed,speeding
病床,bing4chuang2,ㄅㄧㄥˋㄔㄨㄤˊ,Bed,hospital bed; sickbed
患,huan4,ㄏㄨㄢˋ,Suffer,to contract (an illness); suffer from; trouble; peril
慫恿,song3yong3,ㄙㄨㄥˇㄩㄥˇ,Encourage,to instigate; to incite; to egg sb. on; to urge; to abet
架構,jia4gou4,ㄐㄧㄚˋㄍㄡˋ,Architecture,to construct; to build; structure; framework; infrastructure; architecture
暗暗,an4'an4,ㄢˋ'ㄢˋ,secretly,secretly; inwardly
難民,nan4min2,ㄋㄢˋㄇㄧㄣˊ,refugee,refugee
洽商,qia4shang1,ㄑㄧㄚˋㄕㄤˉ,Discuss,discuss; to consult with
順從,shun4cong2,ㄕㄨㄣˋㄘㄨㄥˊ,obedience,submit to; obey
未婚妻,wei4hun1qi1,ㄨㄟˋㄏㄨㄣˉㄑㄧˉ,fiancée,fiancée
烈士,lie4shi4,ㄌㄧㄝˋㄕˋ,martyr,martyr
墮胎,duo4tai1,ㄉㄨㄛˋㄊㄞˉ,Abortion,perform an abortion; abortion
漏,lou4,ㄌㄡˋ,leak,to leak; to funnel; to let out; water clock
損害,sun3hai4,ㄙㄨㄣˇㄏㄞˋ,damage,to harm; to damage; injure
何,he2,ㄏㄜˊ,what,why; what; how; where; which
撫育,fu3yu4,ㄈㄨˇㄩˋ,Raise,nurture; raise; foster; tend
擴建,kuo4jian4,ㄎㄨㄛˋㄐㄧㄢˋ,Expand,extend a building
伺候,ci4hou5,ㄘˋㄏㄡ˙,Serve,serve; wait upon; act as a valet
針灸,zhen1jiu3,ㄓㄣˉㄐㄧㄡˇ,Acupuncture,acupuncture and moxibustion
追捕,zhui1bu3,ㄓㄨㄟˉㄅㄨˇ,Pursue,pursue; be after; hunt down
翻新,fan1xin1,ㄈㄢˉㄒㄧㄣˉ,Renovation,renovate; recondition; make over (house furniture etc.)
溫泉,wen1quan2,ㄨㄣˉㄑㄩㄢˊ,spa,hot spring
竭力,jie2li4,ㄐㄧㄝˊㄌㄧˋ,Do your best,do one's utmost; as best one can; exert strength
派出所,pai4chu1suo3,ㄆㄞˋㄔㄨˉㄙㄨㄛˇ,Police station,local police station
缺陷,que1xian4,ㄑㄩㄝˉㄒㄧㄢˋ,defect,a defect; a flaw; disfigurement
垂,chui2,ㄔㄨㄟˊ,Droop,to hang (down); droop; dangle
木料,mu4liao4,ㄇㄨˋㄌㄧㄠˋ,timber,timber
疼愛,teng2'ai4,ㄊㄥˊ'ㄞˋ,Love,love dearly; be very fond of
社區,she4qu1,ㄕㄜˋㄑㄩˉ,Community,community
學分,xue2fen1,ㄒㄩㄝˊㄈㄣˉ,credit,academic credit
曆來,li4lai2,ㄌㄧˋㄌㄞˊ,always,always; throughout (a period of time)
即,ji2,ㄐㄧˊ,which is,to mean; namely; to reach; at present; even if
推測,tui1ce4,ㄊㄨㄟˉㄘㄜˋ,Speculate,speculate; conjecture; infer
催眠,cui1mian2,ㄘㄨㄟˉㄇㄧㄢˊ,Hypnotic,hypnotize; mesmerize; lull to sleep
人選,ren2xuan3,ㄖㄣˊㄒㄩㄢˇ,Person,person selected; candidate
容量,rong2liang4,ㄖㄨㄥˊㄌㄧㄤˋ,capacity,capacity; volume; quantitative (science)
作風,zuo4feng1,ㄗㄨㄛˋㄈㄥˉ,style,work style; way (of doing things)
加快,jia1kuai4,ㄐㄧㄚˉㄎㄨㄞˋ,accelerate,quicken; speed up
后輩,hou4bei4,ㄏㄡˋㄅㄟˋ,Junior,younger generation
一律,yi2lv4,ㄧˊlvˋ,All,same; uniformly; all; without exception
戰線,zhan4xian4,ㄓㄢˋㄒㄧㄢˋ,Front,battle line; battlefront; front
裁縫,cai2feng5,ㄘㄞˊㄈㄥ˙,tailor,tailor; dressmaker
終結,zhong1jie2,ㄓㄨㄥˉㄐㄧㄝˊ,End,end; final stage; conclusion
思維,si1wei2,ㄙˉㄨㄟˊ,thinking,(line) of thought; thinking
告狀,gao4 zhuang4,ㄍㄠˋ ㄓㄨㄤˋ,Complaint,sue; lodge a complaint (to a superior)
締結,di4jie2,ㄉㄧˋㄐㄧㄝˊ,conclude,conclude (an agreement)
傢伙,jia1huo5,ㄐㄧㄚˉㄏㄨㄛ˙,Guy,guy; fellow (variant of  家~)
排名,pai2ming2,ㄆㄞˊㄇㄧㄥˊ,Rank,rank as; be ranked as
貪心,tan1xin1,ㄊㄢˉㄒㄧㄣˉ,greedy,greedy
抉擇,jue2ze2,ㄐㄩㄝˊㄗㄜˊ,Choice,(literary) to choose; to decide; choices; major decisions
錫,xi1,ㄒㄧˉ,tin,tin
運,yun4,ㄩㄣˋ,transport,to move; to transport; luck
天性,tian1xing4,ㄊㄧㄢˉㄒㄧㄥˋ,nature,natural instincts; nature
工藝品,gong1yi4pin3,ㄍㄨㄥˉㄧˋㄆㄧㄣˇ,Craft,handicraft; handiwork
演習,yan3xi2,ㄧㄢˇㄒㄧˊ,exercise,manoeuvre; exercise; drill; dry run
周邊,zhou1bian1,ㄓㄡˉㄅㄧㄢˉ,Peripheral,surrounding; periphery; rim; peripheral (computing)
高壓,gao1ya1,ㄍㄠˉㄧㄚˉ,high pressure,high pressure; high-handed
辭典,ci2dian3,ㄘˊㄉㄧㄢˇ,dictionary,dictionary
修女,xiu1nv3,ㄒㄧㄡˉnvˇ,nun,nun
凍結,dong4jie2,ㄉㄨㄥˋㄐㄧㄝˊ,freeze,to freeze; to congeal; (of loans wages prices etc.) freeze; frozen (assets etc.)
援助,yuan2zhu4,ㄩㄢˊㄓㄨˋ,assistance,to help; aid
探險,tan4xian3,ㄊㄢˋㄒㄧㄢˇ,Adventure,adventure; to explore
拋棄,pao1qi4,ㄆㄠˉㄑㄧˋ,abandon,discard; abandon; dump (sb.)
互補,hu4bu3,ㄏㄨˋㄅㄨˇ,Complement,complement one another
光顧,guang1gu4,ㄍㄨㄤˉㄍㄨˋ,Patronize,(polite) (used by a shop owner or assistant) to patronize
老鄉,lao3xiang1,ㄌㄠˇㄒㄧㄤˉ,Hometown,fellow townspeople; fellow villager
難題,nan2ti2,ㄋㄢˊㄊㄧˊ,problem,difficult problem; tough question
貧民,pin2min2,ㄆㄧㄣˊㄇㄧㄣˊ,poor,poor people
借貸,jie4dai4,ㄐㄧㄝˋㄉㄞˋ,Borrow,to loan
散布,san4bu4,ㄙㄢˋㄅㄨˋ,spread,to scatter; disseminate; to spread
星辰,xing1chen2,ㄒㄧㄥˉㄔㄣˊ,Stars,stars
立體,li4ti3,ㄌㄧˋㄊㄧˇ,Three -dimensional,solid; three dimensional; stereoscopic
懶惰,lan3duo4,ㄌㄢˇㄉㄨㄛˋ,Lazy,lazy; idle
避孕,bi4yun4,ㄅㄧˋㄩㄣˋ,contraception,contraception; avoid conception
受訓,shou4xun4,ㄕㄡˋㄒㄩㄣˋ,Traine,receive training; undergo training
嫂子,sao3zi5,ㄙㄠˇㄗ˙,sister in law,(informal) elder brother's wife; sister-in-law
誤解,wu4jie3,ㄨˋㄐㄧㄝˇ,misunderstanding,misunderstand; misread
靜脈,jing4mai4,ㄐㄧㄥˋㄇㄞˋ,vein,vein
舒展,shu1zhan3,ㄕㄨˉㄓㄢˇ,Stretch,extend; unfold; stretch out
自滿,zi4man3,ㄗˋㄇㄢˇ,complacent,complacent; self-satisfied
尊,zun1,ㄗㄨㄣˉ,Respect,senior; to honor; respect; venerate: (honorific) your; (measure word for cannons and statues)
蠻橫,man2heng4,ㄇㄢˊㄏㄥˋ,Boring,rude and unreasonable
驚險,jing1xian3,ㄐㄧㄥˉㄒㄧㄢˇ,thrilling,breathtaking; thrilling
情節,qing2jie2,ㄑㄧㄥˊㄐㄧㄝˊ,plot,plot; circumstances
逮捕,dai4bu3,ㄉㄞˋㄅㄨˇ,arrest,arrest (a criminal); take into custody
跨越,kua4yue4,ㄎㄨㄚˋㄩㄝˋ,Span,to step/leap/cut across; to span; to overcome
化工,hua4gong1,ㄏㄨㄚˋㄍㄨㄥˉ,Chemical industry,chemical engineering; chemical industry
忠實,zhong1shi2,ㄓㄨㄥˉㄕˊ,loyal,faithful; dependable
意識到,yi4shi5dao4,ㄧˋㄕ˙ㄉㄠˋ,Aware,aware of; realize
振動,zhen4dong4,ㄓㄣˋㄉㄨㄥˋ,vibration,vibrate; vibration
注視,zhu4shi4,ㄓㄨˋㄕˋ,Look at,watch attentively; gaze at; stare
解脫,jie3tuo1,ㄐㄧㄝˇㄊㄨㄛˉ,relief,to free oneself (from sth. or sb.)
修筑,xiu1zhu4,ㄒㄧㄡˉㄓㄨˋ,build,to build; to repair (roads etc)
逝世,shi4shi4,ㄕˋㄕˋ,Death,to pass away; to die
絕大多數,jue2da4duo1shu4,ㄐㄩㄝˊㄉㄚˋㄉㄨㄛˉㄕㄨˋ,Most,the vast majority
利率,li4lv4,ㄌㄧˋlvˋ,interest rate,interest rate
昂貴,ang2gui4,ㄤˊㄍㄨㄟˋ,expensive,expensive; costly
之所以,zhi1suo3yi3,ㄓˉㄙㄨㄛˇㄧˇ,Why,the reason why
團聚,tuan2ju4,ㄊㄨㄢˊㄐㄩˋ,Reunion,reunite; have a reunion
寫實,xie3shi2,ㄒㄧㄝˇㄕˊ,Realistic,be written or painted realistically
精,jing1,ㄐㄧㄥˉ,Refined,energy; excellent; refined; spirit; semen
歌手,ge1shou3,ㄍㄜˉㄕㄡˇ,singer,singer; vocalist
棍子,gun4zi5,ㄍㄨㄣˋㄗ˙,stick,stick; rod
航行,hang2xing2,ㄏㄤˊㄒㄧㄥˊ,Sail,to sail; to fly; to navigate
籍貫,ji2guan4,ㄐㄧˊㄍㄨㄢˋ,Native,one's native place; place of ancestry;
出局,chu1ju2,ㄔㄨˉㄐㄩˊ,Export,out (in baseball etc.); knock out (in a knockout tournament); send off (player for a foul)
殘暴,can2bao4,ㄘㄢˊㄅㄠˋ,brutal,atrocity; ruthless; bloody and cruel
不得,bu4de2,ㄅㄨˋㄉㄜˊ,Be unable to,must not; may not; not be allowed
特此,te4ci3,ㄊㄜˋㄘˇ,hereby,{adverb} (used in a document or formal letter) hereby
升值,sheng1zhi2,ㄕㄥˉㄓˊ,appreciation,appreciate/rise in value
拳,quan2,ㄑㄩㄢˊ,fist,fist
踏實,ta1shi5,ㄊㄚˉㄕ˙,Stubborn,steady solid reliable; free from anxiety
擔當,dan1dang1,ㄉㄢˉㄉㄤˉ,Take responsibility for,take on; undertake; assume; to shoulder (e.g. responsibility)
單獨,dan1du2,ㄉㄢˉㄉㄨˊ,alone,alone; on one's own; independent
貝殼,bei4ke2,ㄅㄟˋㄎㄜˊ,shell,shell; conch; cowry
岩石,yan2shi2,ㄧㄢˊㄕˊ,rock,rock; stone
首長,shou3zhang3,ㄕㄡˇㄓㄤˇ,Chief,senior official; director; principal
仇,chou2,ㄔㄡˊ,hatred,enemy; foe; hatred; Surname
烏龍茶,wu1long2cha2,ㄨˉㄌㄨㄥˊㄔㄚˊ,Oolong tea,oolong tea
廢,fei4,ㄈㄟˋ,Abandon,abolish; useless; abandon; waste
處女,chu3nv3,ㄔㄨˇnvˇ,virgin,virgin; maiden; inaugural
沿襲,yan2xi2,ㄧㄢˊㄒㄧˊ,Strike,carry on; follow (custom lineage etc)
現今,xian4jin1,ㄒㄧㄢˋㄐㄧㄣˉ,now,now;  nowadays; modern
地主,di4zhu3,ㄉㄧˋㄓㄨˇ,Landlord,landlord; landowner
不惜,bu4xi1,ㄅㄨˋㄒㄧˉ,Not to hesitate,not hesitate (to do sth.); unsparing; at all costs
枚,mei2,ㄇㄟˊ,Dime,(mw for coins rings medals) housewhip
逐步,zhu2bu4,ㄓㄨˊㄅㄨˋ,Step -by -step,step by step; gradually
攝氏,She4shi4,Sㄏㄜˋㄕˋ,Celsius,Celsius; centigrade
枷鎖,jia1suo3,ㄐㄧㄚˉㄙㄨㄛˇ,shackles,yoke; chains; shackles; fetters
指引,zhi3yin3,ㄓˇㄧㄣˇ,Guidance,to guide; to show
旁聽,pang2ting1,ㄆㄤˊㄊㄧㄥˉ,Listen to,be (at a conference etc.) as an observer; attend as a visitor; sit in (on a class); attend class as an auditor or non-credit earning student
前程,qian2cheng2,ㄑㄧㄢˊㄔㄥˊ,future,future (career etc) prospects
私心,si1xin1,ㄙˉㄒㄧㄣˉ,Selfish,selfishness
衝,chong1,ㄔㄨㄥˉ,rush,to rush; to clash; thoroughfare vigorously; bluntly; pungent; toward
取悅,qu3yue4,ㄑㄩˇㄩㄝˋ,Please,try to please; curry favor; ingratiate oneself
論點,lun4dian3,ㄌㄨㄣˋㄉㄧㄢˇ,argument,argument; line of reasoning; thesis
配音,pei4yin1,ㄆㄟˋㄧㄣˉ,Dubbing,dub; synchronize
慈善,ci2shan4,ㄘˊㄕㄢˋ,charitable,philanthropic; benevolent; charitable
旋轉,xuan2zhuan3,ㄒㄩㄢˊㄓㄨㄢˇ,Rotate,to whirl; to spin; rotate
瑕疵,xia2ci1,ㄒㄧㄚˊㄘˉ,flaw,flaw; blemish
鈴,ling2,ㄌㄧㄥˊ,bell,bell
租賃,zu1lin4,ㄗㄨˉㄌㄧㄣˋ,lease,to rent; to lease
雙打,shuang1da3,ㄕㄨㄤˉㄉㄚˇ,Double dozen,(sports) doubles
階級,jie1ji2,ㄐㄧㄝˉㄐㄧˊ,class,steps; stairs; rank (trad.); social class
不等,bu4deng3,ㄅㄨˋㄉㄥˇ,Do not wait,vary; differ; different
正當,zheng4dang1,ㄓㄥˋㄉㄤˉ,Proper,timely; just when (dàng) proper
因果,yin1guo3,ㄧㄣˉㄍㄨㄛˇ,cause and effect,cause and effect; karma; preordained
飛翔,fei1xiang2,ㄈㄟˉㄒㄧㄤˊ,fly,fly; hover
胳膊,ge1bo5,ㄍㄜˉㄅㄛ˙,arm,arm
計,ji4,ㄐㄧˋ,count,calculate; compute; to count
多虧,duo1kui1,ㄉㄨㄛˉㄎㄨㄟˉ,Better than,thanks to; luckily
打量,da3liang5,ㄉㄚˇㄌㄧㄤ˙,Look at,take measure of; size up
報應,bao4ying4,ㄅㄠˋㄧㄥˋ,retribution,retribution
時節,shi2jie2,ㄕˊㄐㄧㄝˊ,season,season; time
掙扎,zheng1zha2,ㄓㄥˉㄓㄚˊ,struggle,to struggle
血跡,xue4ji4,ㄒㄩㄝˋㄐㄧˋ,Blood stain,bloodstain
替代,ti4dai4,ㄊㄧˋㄉㄞˋ,Replace,be a substitute for; replace; supersede
要犯,yao4fan4,ㄧㄠˋㄈㄢˋ,Criminal,important criminal
進度,jin4du4,ㄐㄧㄣˋㄉㄨˋ,schedule,speed or rate of progress; pace; work schedule
仙丹,xian1dan1,ㄒㄧㄢˉㄉㄢˉ,Immortal,elixir of life
海運,hai3yun4,ㄏㄞˇㄩㄣˋ,Shipping,transport by sea
煎,jian1,ㄐㄧㄢˉ,fry,pan-fry; fry in shallow oil
鑽研,zuan1yan2,ㄗㄨㄢˉㄧㄢˊ,Study,study intensively; delve into
均,Jun1,ㄐㄩㄣˉ,all,equal; even; all
公認,gong1ren4,ㄍㄨㄥˉㄖㄣˋ,accepted,publicly know (to be); recognize; generally acknowledged
鋤頭,chu2tou2,ㄔㄨˊㄊㄡˊ,hoe,pickaxe; hoe
人際,ren2ji4,ㄖㄣˊㄐㄧˋ,people,interpersonal; human relationships
漆,qi1,ㄑㄧˉ,paint,to paint; to lacquer
拖延,tuo1yan2,ㄊㄨㄛˉㄧㄢˊ,procrastination,prolong; protraction; delay; stall; procrastinate
沉默,chen2mo4,ㄔㄣˊㄇㄛˋ,silence,silent; uncommunicative
步驟,bu4zhou4,ㄅㄨˋㄓㄡˋ,step,step; move; measure; procedure
嚮導,xiang4dao3,ㄒㄧㄤˋㄉㄠˇ,Guide,a guide; an escort; act as a guide
據,ju4,ㄐㄩˋ,according to,occupy; seize; rely on; according to; evidence; certificate
鬼怪,gui3guai4,ㄍㄨㄟˇㄍㄨㄞˋ,Ghost,hobgoblin; bogey; monstrosity; phantom (aircraft type)
囉嗦,luo1suo5,ㄌㄨㄛˉㄙㄨㄛ˙,Shy,long-winded; wordy (variant of ~唆)
數據,shu4ju4,ㄕㄨˋㄐㄩˋ,data,data; numbers; digital
出力,chu1li4,ㄔㄨˉㄌㄧˋ,Force,exert oneself; put forth ones strength
舉重,ju3zhong4,ㄐㄩˇㄓㄨㄥˋ,weightlifting,to lift weights; weightlifting (sport)
拋,pao1,ㄆㄠˉ,throw,to throw; to toss; to fling
戰士,zhan4shi4,ㄓㄢˋㄕˋ,warrior,soldier; fighter; warrior
鼓吹,gu3chui1,ㄍㄨˇㄔㄨㄟˉ,Advocate,to preach; to play up; to agitate for; to promote enthusiastically; chamber music with percussion and wind instruments
不禁,bu4jin1,ㄅㄨˋㄐㄧㄣˉ,Unable to,cannot help; can't refrain from
節慶,jie2qing4,ㄐㄧㄝˊㄑㄧㄥˋ,festival,festival; holidays and celebrations
日益,ri4yi4,ㄖˋㄧˋ,increasingly,day by day; more and more; increasingly
熱帶,re4dai4,ㄖㄜˋㄉㄞˋ,tropical,tropic; tropical
交情,jiao1qing5,ㄐㄧㄠˉㄑㄧㄥ˙,friendship,friendship; friendly relations
理所當然,li3 suo3 dang1 ran2,ㄌㄧˇ ㄙㄨㄛˇ ㄉㄤˉ ㄖㄢˊ,Taken for granted,(idiom) it goes without saying; certainly; of course; be natural and right
淡水,dan4shui3,ㄉㄢˋㄕㄨㄟˇ,freshwater,freshwater; potable water (water with low salt content); Popular tourist destination in Northern Taiwan.
歸納,gui1na4,ㄍㄨㄟˉㄋㄚˋ,induction,conclude from the facts; induce; sum up from the facts
沉思,chen2si1,ㄔㄣˊㄙˉ,meditation,ponder; contemplate; meditation
吵嘴,chao3 zui3,ㄔㄠˇ ㄗㄨㄟˇ,quarrel,quarrel; argue
同性戀,tong2xing4lian4,ㄊㄨㄥˊㄒㄧㄥˋㄌㄧㄢˋ,Homosexuality,homosexuality; gay person; gay love
境地,jing4di4,ㄐㄧㄥˋㄉㄧˋ,situation,circumstances; condition; state
生死,sheng1si3,ㄕㄥˉㄙˇ,life and death,life and death
塗,tu2,ㄊㄨˊ,Coat,spread on; smear; scribble; blot out
錄影,lu4ying3,ㄌㄨˋㄧㄥˇ,Videos,make a video recording
治標,zhi4biao1,ㄓˋㄅㄧㄠˉ,Cure,bring about a temporary solution to a problem; take stopgap measures
化石,hua4shi2,ㄏㄨㄚˋㄕˊ,fossil,fossil
到期,dao4qi1,ㄉㄠˋㄑㄧˉ,maturity,become due; expire (visa etc.); mature (investment bond etc.)
鎮壓,zhen4ya1,ㄓㄣˋㄧㄚˉ,Suppress,suppress; suppression; crack down
漠視,mo4shi4,ㄇㄛˋㄕˋ,disregard,to ignore; to neglect; to treat with contempt
縱火,zong4huo3,ㄗㄨㄥˋㄏㄨㄛˇ,Arson,to set on fire; to commit arson
刺殺,ci4sha1,ㄘˋㄕㄚˉ,Assassinate,stab to death
靈,ling2,ㄌㄧㄥˊ,spirit,alert; clever; effective; spirit; departed soul
潛藏,qian2cang2,ㄑㄧㄢˊㄘㄤˊ,Hidden,hidden beneath the surface; buried and concealed; hide; lurk
紅利,hong2li4,ㄏㄨㄥˊㄌㄧˋ,dividend,dividend; bonus
壟斷,long3duan4,ㄌㄨㄥˇㄉㄨㄢˋ,monopoly,monopoly; monopolize
明智,ming2zhi4,ㄇㄧㄥˊㄓˋ,wise,wise; sensible
圍牆,wei2qiang2,ㄨㄟˊㄑㄧㄤˊ,Fence,fence; enclosure
出錯,chu1cuo4,ㄔㄨˉㄘㄨㄛˋ,Go wrong,make a mistake; error
隔天,ge2tian1,ㄍㄜˊㄊㄧㄢˉ,The next day,the next day; on alternate days
昆虫,kun1chong2,ㄎㄨㄣˉㄔㄨㄥˊ,insect,insect
為生,wei2sheng1,ㄨㄟˊㄕㄥˉ,Live,make a living
省事,sheng3shi4,ㄕㄥˇㄕˋ,save trouble,to save trouble
打手,da3shou5,ㄉㄚˇㄕㄡ˙,Fight,goon
地步,di4bu4,ㄉㄧˋㄅㄨˋ,Point,condition; plight; extent
成見,cheng2jian4,ㄔㄥˊㄐㄧㄢˋ,prejudice,preconceived idea; prejudice; bias
白皮書,bai2pi2shu1,ㄅㄞˊㄆㄧˊㄕㄨˉ,white paper,white paper
講義,jiang3yi4,ㄐㄧㄤˇㄧˋ,Lecture,teaching materials
女方,nv3fang1,nvˇㄈㄤˉ,Woman,the bride's side
難免,nan2mian3,ㄋㄢˊㄇㄧㄢˇ,Inevitable,hard to avoid; difficult to escape from
議題,yi4ti2,ㄧˋㄊㄧˊ,issue,subject under discussion; issue
挪,nuo2,ㄋㄨㄛˊ,move,shift; move
傳奇,chuan2qi2,ㄔㄨㄢˊㄑㄧˊ,legend,legend; romance; fantastic tale
腐爛,fu3lan4,ㄈㄨˇㄌㄢˋ,rot,to rot; to putrefy; (fig.) corrupt
突擊,tu1ji1,ㄊㄨˉㄐㄧˉ,assault,make a sudden attack; assault; onrush
聯盟,lian2meng2,ㄌㄧㄢˊㄇㄥˊ,alliance,alliance; union; coalition
山脈,shan1mai4,ㄕㄢˉㄇㄞˋ,Mountain,mountain range
督促,du1cu4,ㄉㄨˉㄘㄨˋ,urge,supervise and urge sb. to complete a task
本位,ben3wei4,ㄅㄣˇㄨㄟˋ,standard,standard (e.g. economics)
諾言,nuo4yan2,ㄋㄨㄛˋㄧㄢˊ,promise,promise
負面,fu4mian4,ㄈㄨˋㄇㄧㄢˋ,Negative,negative; the negative side
地勢,di4shi4,ㄉㄧˋㄕˋ,terrain,terrain; topography
養老,yang3lao3,ㄧㄤˇㄌㄠˇ,Retirement,provision for the elderly; live out one's life in retirement
開啟,kai1qi3,ㄎㄞˉㄑㄧˇ,Open,open; unseal
精明,jing1ming2,ㄐㄧㄥˉㄇㄧㄥˊ,shrewd,astute; shrewd
金錢,jin1qian2,ㄐㄧㄣˉㄑㄧㄢˊ,money,money; currency
毀,hui3,ㄏㄨㄟˇ,destroy,destroy; to damage; to ruin; to slander
完備,wan2bei4,ㄨㄢˊㄅㄟˋ,complete,complete; perfect
腦海,nao3hai3,ㄋㄠˇㄏㄞˇ,Brain,mind; brain; consciousness
上門,shang4men2,ㄕㄤˋㄇㄣˊ,Come to the door,door-to-door; at one's door; to visit sb. at home
出手,chu1shou3,ㄔㄨˉㄕㄡˇ,Shot,get off one's hands; sell
審議,shen3yi4,ㄕㄣˇㄧˋ,Review,deliberation; pondering; due consideration
架子,jia4zi5,ㄐㄧㄚˋㄗ˙,shelf,shelf; frame; stand; skeleton; haughty manner
斗志,dou4zhi4,ㄉㄡˋㄓˋ,Fighting spirit,will to fight
容許,rong2xu3,ㄖㄨㄥˊㄒㄩˇ,allow,to permit; allow
技能,ji4neng2,ㄐㄧˋㄋㄥˊ,Skill,skill; technical ability
效法,xiao4fa3,ㄒㄧㄠˋㄈㄚˇ,Resolve,learn from; follow the example of
外號,wai4hao4,ㄨㄞˋㄏㄠˋ,nickname,nickname
協會,xie2hui4,ㄒㄧㄝˊㄏㄨㄟˋ,association,an association; a society
孕婦,yun4fu4,ㄩㄣˋㄈㄨˋ,Pregnant woman,pregnant woman
接連,jie1lian2,ㄐㄧㄝˉㄌㄧㄢˊ,One after another,one after another; in a row; in succession
整頓,zheng3dun4,ㄓㄥˇㄉㄨㄣˋ,Rectify,to tidy up; to reorganize; to consolidate; to rectify; to put in order; to improve
宇宙,yu3zhou4,ㄩˇㄓㄡˋ,universe,universe; cosmos
有限,you3xian4,ㄧㄡˇㄒㄧㄢˋ,limited,limited; finite
承諾,cheng2nuo4,ㄔㄥˊㄋㄨㄛˋ,promise,to promise; undertake; make a commitment
察覺,cha2jue2,ㄔㄚˊㄐㄩㄝˊ,aware,become aware of; perceive
書面,shu1mian4,ㄕㄨˉㄇㄧㄢˋ,written,in writing; written (guarantee etc)
足夠,zu2gou4,ㄗㄨˊㄍㄡˋ,enough,enough; ample; fully sufficient
陡,dou3,ㄉㄡˇ,steep,steep; suddenly
波,bo1,ㄅㄛˉ,Wave,wave; surge; unexpected turn of events
差額,cha1'e2,ㄔㄚˉ'ㄜˊ,difference,difference; balance; margin
無形,wu2xing2,ㄨˊㄒㄧㄥˊ,invisible,invisible; intangible
釣魚,diao4yu2,ㄉㄧㄠˋㄩˊ,fishing,go fishing; fishing
事故,shi4gu4,ㄕˋㄍㄨˋ,ACCIDENT,accident; mishap
解剖,jie3pou1,ㄐㄧㄝˇㄆㄡˉ,Anatomy,dissect; analyze; anatomy
截,jie2,ㄐㄧㄝˊ,cut,a section; sever; to intercept
主人翁,zhu3ren2weng1,ㄓㄨˇㄖㄣˊㄨㄥˉ,Master,master (of one's own destiny etc.); master; protagonist
傳神,chuan2shen2,ㄔㄨㄢˊㄕㄣˊ,vivid,vivid; lifelike
青翠,qing1cui4,ㄑㄧㄥˉㄘㄨㄟˋ,Gorgeous,fresh and green; verdant
園林,yuan2lin2,ㄩㄢˊㄌㄧㄣˊ,garden,gardens; park; landscape
搜集,sou1ji2,ㄙㄡˉㄐㄧˊ,collect,collect; gather
象徵,xiang4zheng1,ㄒㄧㄤˋㄓㄥˉ,Symbol,symbol; symbolize; signify
遺體,yi2ti3,ㄧˊㄊㄧˇ,remains,remains (of a dead person)
噴漆,pen1qi1,ㄆㄣˉㄑㄧˉ,Paint,spray lacquer/paint
光芒,guang1mang2,ㄍㄨㄤˉㄇㄤˊ,Light,radiance; brilliance
一概,yi2gai4,ㄧˊㄍㄞˋ,General,all; without any exceptions
正統,zheng4tong3,ㄓㄥˋㄊㄨㄥˇ,orthodox,legitimate; orthodox; (Ming emperor 1427-1464) became Emperor at the age of eight. He was captured by the Mongols in 1449 released a year later and put under house-arrest for seven years by his brother. He re-seized the throne again by a palace coup.
幕,mu4,ㄇㄨˋ,screen,stage curtain; veil; tent; screen
頒發,ban1fa1,ㄅㄢˉㄈㄚˉ,Presence,to issue; to award; present with (e.g. a certificate or accreditation)
出路,chu1lu4,ㄔㄨˉㄌㄨˋ,Go out,a way out; outlet
